degree, x, y, distance, frame
55.0, 178.244, 258.895,2.0, 1
undef, 178.265, 258.782,20.785, 2
undef, 178.337, 258.36,2.0, 3
undef, 178.562, 258.562,2.0, 4
-117.0, 177.136, 256.118,2.0, 5
0.0, 178.232, 256.426,1.0, 6
undef, 178.5, 256.0,2.236, 7
-45.0, 179.0, 255.5,2.0, 8
undef, 179.685, 255.325,1.414, 9
0.0, 180.0, 255.0,2.0, 10
undef, 180.589, 254.512,2.236, 11
45.0, 181.367, 255.887,1.0, 12
undef, 181.609, 256.445,2.0, 13
undef, 181.927, 255.761,2.236, 14
45.0, 183.58, 257.143,1.0, 15
-27.0, 185.176, 256.896,0.0, 16
63.0, 186.66, 258.24,1.732, 17
0.0, 188.201, 258.361,1.732, 18
37.0, 192.368, 261.204,2.449, 19
0.0, 194.18, 261.679,2.646, 20
45.0, 197.626, 264.174,2.449, 21
18.0, 200.255, 265.676,0.0, 22
27.0, 204.5, 267.5,2.449, 23
18.0, 207.284, 268.716,2.449, 24
27.0, 211.173, 270.392,2.449, 25
-45.0, 213.905, 268.272,2.449, 26
11.0, 218.722, 269.364,2.0, 27
22.0, 223.435, 271.09,0.0, 28
18.0, 226.609, 272.48,2.646, 29
27.0, 228.838, 273.619,2.449, 30
11.0, 233.567, 274.107,2.646, 31
34.0, 236.0, 276.5,0.0, 32
63.0, 237.85, 278.077,1.0, 33
63.0, 238.0, 280.0,1.732, 34
45.0, 239.801, 281.962,1.732, 35
63.0, 240.705, 283.294,2.0, 36
27.0, 242.193, 284.328,1.732, 37
undef, 242.778, 284.954,2.646, 38
27.0, 244.99, 285.09,2.0, 39
0.0, 247.643, 285.985,2.646, 40
0.0, 250.5, 285.5,2.646, 41
0.0, 253.146, 285.293,2.646, 42
-45.0, 254.676, 284.354,2.646, 43
0.0, 257.0, 284.5,1.414, 44
0.0, 258.0, 284.0,2.646, 45
-45.0, 259.688, 283.237,2.236, 46
0.0, 263.0, 283.0,1.414, 47
-45.0, 264.619, 282.483,0.0, 48
-14.0, 268.895, 281.045,1.414, 49
-27.0, 272.376, 279.523,2.236, 50
0.0, 275.5, 279.0,2.449, 51
-13.0, 284.002, 277.491,2.646, 52
-14.0, 288.806, 276.131,3.0, 53
-27.0, 292.769, 274.538,2.236, 54
-14.0, 296.543, 273.63,2.449, 55
-18.0, 299.086, 272.983,2.236, 56
0.0, 301.97, 272.632,2.0, 57
0.0, 304.625, 272.0,2.449, 58
-18.0, 307.024, 271.262,2.646, 59
-45.0, 308.989, 270.864,2.0, 60
0.0, 311.176, 270.387,1.414, 61
-45.0, 312.746, 269.547,2.646, 62
0.0, 314.068, 269.315,1.414, 63
-45.0, 315.062, 268.98,2.449, 64
undef, 315.373, 268.927,1.414, 65
135.0, 314.981, 269.691,2.0, 66
45.0, 316.135, 271.257,2.449, 67
undef, 316.668, 272.658,0.0, 68
undef, 316.691, 273.714,2.236, 69
undef, 316.767, 275.861,2.236, 70
63.0, 317.071, 277.5,1.414, 71
undef, 317.28, 278.839,1.732, 72
undef, 317.115, 280.426,2.236, 73
undef, 317.149, 282.355,1.414, 74
undef, 317.5, 283.5,1.414, 75
63.0, 318.435, 285.404,2.236, 76
undef, 318.986, 285.979,1.732, 77
45.0, 319.735, 286.738,2.0, 78
45.0, 320.786, 287.167,2.0, 79
undef, 320.87, 288.234,2.0, 80
0.0, 321.812, 288.812,2.236, 81
undef, 321.651, 288.671,2.236, 82
135.0, 320.293, 289.707,2.0, 83
153.0, 318.746, 290.873,2.449, 84
135.0, 317.051, 291.803,2.236, 85
180.0, 315.476, 291.476,2.449, 86
162.0, 312.922, 292.276,2.449, 87
180.0, 310.613, 292.778,2.828, 88
153.0, 306.933, 294.371,2.449, 89
158.0, 301.522, 296.909,1.414, 90
153.0, 297.012, 298.548,2.646, 91
158.0, 292.6, 300.237,1.414, 92
153.0, 288.232, 302.326,2.646, 93
153.0, 284.101, 304.627,1.414, 94
153.0, 280.137, 306.113,1.414, 95
146.0, 277.465, 308.225,1.414, 96
149.0, 272.34, 311.935,1.0, 97
135.0, 268.019, 315.653,2.828, 98
135.0, 264.54, 319.246,3.464, 99
135.0, 261.205, 322.55,3.464, 100
153.0, 257.5, 324.923,1.414, 101
135.0, 255.0, 326.568,1.414, 102
153.0, 251.5, 328.455,2.0, 103
143.0, 247.5, 331.667,1.414, 104
143.0, 243.5, 334.5,1.0, 105
-162.0, 240.0, 333.5,1.0, 106
162.0, 237.0, 334.0,1.414, 107
180.0, 234.5, 334.5,2.828, 108
180.0, 231.5, 334.5,2.646, 109
-162.0, 228.5, 333.0,2.646, 110
146.0, 225.0, 335.0,1.414, 111
180.0, 221.0, 335.0,1.0, 112
180.0, 217.0, 335.0,2.828, 113
180.0, 213.5, 335.0,2.828, 114
180.0, 211.0, 335.0,2.828, 115
-2.0, 524.0, 325.25,2.449, 117
162.0, 521.0, 326.909,17.464, 118
117.0, 520.0, 328.477,2.828, 119
180.0, 519.5, 328.682,1.732, 120
undef, 519.5, 327.804,2.236, 121
undef, 519.0, 327.978,1.0, 122
135.0, 517.0, 329.391,2.0, 123
